country,iso_code,region,year,population,gdp,energy_per_capita,primary_energy_consumption,renewables_share_energy,fossil_share_energy,solar_share_energy,wind_share_energy,hydro_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,co2_emissions
Brazil,BRA,South America,2013,235152000.0,2517447000000.0,238.94,50.895,83.51,14.49,14.92,20.23,48.36,6.52,5.07,2.9,3.686
Brazil,BRA,South America,2014,236856000.0,2564946000000.0,252.14,53.707,87.16,12.06,16.82,19.17,51.17,5.43,4.22,2.41,3.238
Brazil,BRA,South America,2015,238560000.0,2612445000000.0,245.98,52.393,84.7,11.18,19.47,19.19,46.04,5.03,3.91,2.24,2.93
Brazil,BRA,South America,2016,240264000.0,2659944000000.0,245.88,52.372,85.67,14.39,21.69,20.61,43.37,6.48,5.04,2.88,3.768
Brazil,BRA,South America,2017,241968000.0,2707443000000.0,250.18,53.288,87.22,11.74,24.38,22.32,40.52,5.29,4.11,2.35,3.129
Brazil,BRA,South America,2018,243672000.0,2754942000000.0,256.14,54.557,87.76,9.34,27.6,21.55,38.61,4.2,3.27,1.87,2.546
Brazil,BRA,South America,2019,245376000.0,2802441000000.0,263.18,56.057,86.85,10.91,30.12,21.48,35.25,4.91,3.82,2.18,3.059
Brazil,BRA,South America,2020,247080000.0,2849940000000.0,261.16,55.627,85.85,9.36,33.46,21.3,31.09,4.21,3.28,1.87,2.603
Brazil,BRA,South America,2021,248784000.0,2897439000000.0,274.16,58.397,90.9,10.04,37.68,22.65,30.58,4.52,3.52,2.01,2.933
Brazil,BRA,South America,2022,250488000.0,2944938000000.0,296.95,63.251,87.51,9.47,40.0,21.69,25.83,4.26,3.31,1.89,2.994
Brazil,BRA,South America,2023,252192000.0,2992437000000.0,290.61,61.901,87.93,6.66,40.0,22.73,25.2,3.0,2.33,1.33,2.062
United States,USA,North America,2000,331000000.0,20853000000000.0,1207.01,399.52,16.18,78.81,1.32,4.63,10.23,35.46,27.58,15.76,157.422
United States,USA,North America,2001,333648000.0,21019824000000.0,1273.88,421.653,16.45,74.52,1.93,3.61,10.91,33.53,26.08,14.9,157.107
United States,USA,North America,2002,336296000.0,21186648000000.0,1298.35,429.753,19.01,73.18,0.61,3.83,14.57,32.93,25.61,14.64,157.246
United States,USA,North America,2003,338944000.0,21353472000000.0,1321.73,437.492,17.74,74.31,2.13,3.2,12.4,33.44,26.01,14.86,162.556
United States,USA,North America,2004,341592000.0,21520296000000.0,1307.52,432.79,22.35,71.39,2.0,5.85,14.51,32.13,24.99,14.28,154.492
United States,USA,North America,2005,344240000.0,21687120000000.0,1330.92,440.534,17.7,71.62,2.73,4.72,10.25,32.23,25.07,14.32,157.755
United States,USA,North America,2006,346888000.0,21853944000000.0,1329.68,440.124,21.3,72.55,3.14,5.62,12.54,32.65,25.39,14.51,159.662
United States,USA,North America,2007,349536000.0,22020768000000.0,1283.01,424.675,24.78,74.51,3.49,6.85,14.43,33.53,26.08,14.9,158.219
United States,USA,North America,2008,352184000.0,22187592000000.0,1307.63,432.826,23.05,75.53,4.24,6.73,12.09,33.99,26.44,15.11,163.467
United States,USA,North America,2009,354832000.0,22354416000000.0,1340.78,443.797,23.56,76.66,5.76,5.14,12.66,34.5,26.83,15.33,170.114
United States,USA,North America,2010,357480000.0,22521240000000.0,1374.73,455.035,20.72,72.37,6.32,5.46,8.95,32.57,25.33,14.47,164.649
United States,USA,North America,2011,360128000.0,22688064000000.0,1360.0,450.159,22.81,75.08,8.19,8.42,6.19,33.79,26.28,15.02,168.992
United States,USA,North America,2012,362776000.0,22854888000000.0,1400.95,463.714,21.5,69.68,9.42,5.15,6.93,31.36,24.39,13.94,161.568
United States,USA,North America,2013,365424000.0,23021712000000.0,1355.7,448.737,24.6,71.33,10.87,4.63,9.09,32.1,24.97,14.27,160.048
United States,USA,North America,2014,368072000.0,23188536000000.0,1348.76,446.439,25.8,71.56,11.94,6.62,7.24,32.2,25.05,14.31,159.733
United States,USA,North America,2015,370720000.0,23355360000000.0,1413.66,467.923,22.75,71.09,13.91,4.55,4.29,31.99,24.88,14.22,166.323
United States,USA,North America,2016,373368000.0,23522184000000.0,1466.21,485.316,26.08,72.6,15.66,5.14,5.28,32.67,25.41,14.52,176.172
United States,USA,North America,2017,376016000.0,23689008000000.0,1453.48,481.101,26.42,71.11,17.01,10.46,0.0,32.0,24.89,14.22,171.066
United States,USA,North America,2018,378664000.0,23855832000000.0,1469.61,486.44,28.1,71.65,19.6,6.71,1.79,32.24,25.08,14.33,174.26
United States,USA,North America,2019,381312000.0,24022656000000.0,1430.38,473.457,24.72,68.92,21.78,6.26,0.0,31.01,24.12,13.78,163.148
United States,USA,North America,2020,383960000.0,24189480000000.0,1390.89,460.383,22.96,70.42,24.61,5.27,0.0,31.69,24.65,14.08,162.092
United States,USA,North America,2021,386608000.0,24356304000000.0,1440.1,476.673,27.26,66.54,26.45,7.49,0.0,29.94,23.29,13.31,158.589
United States,USA,North America,2022,389256000.0,24523128000000.0,1452.79,480.875,28.0,68.44,28.16,9.14,0.0,30.8,23.95,13.69,164.553
United States,USA,North America,2023,391904000.0,24689952000000.0,1462.22,483.995,23.95,68.37,31.25,6.84,0.0,30.77,23.93,13.67,165.461
China,CHN,Asia,2000,1411000000.0,16932000000000.0,246.23,347.435,23.77,73.01,0.0,4.74,19.03,32.85,25.55,14.6,126.831
China,CHN,Asia,2001,1422288000.0,17355300000000.0,259.03,365.49,23.48,70.35,0.0,6.28,17.21,31.66,24.62,14.07,128.553
China,CHN,Asia,2002,1433576000.0,17778600000000.0,259.81,366.585,26.71,75.55,0.0,5.16,21.55,34.0,26.44,15.11,138.475
China,CHN,Asia,2003,1444864000.0,18201900000000.0,261.44,368.885,27.84,69.54,0.74,7.73,19.36,31.29,24.34,13.91,128.264
China,CHN,Asia,2004,1456152000.0,18625200000000.0,255.89,361.056,25.62,64.13,1.29,6.15,18.17,28.86,22.44,12.83,115.766
China,CHN,Asia,2005,1467440000.0,19048500000000.0,266.44,375.941,29.44,67.4,2.1,7.49,19.85,30.33,23.59,13.48,126.693
China,CHN,Asia,2006,1478728000.0,19471800000000.0,276.08,389.556,23.74,72.24,4.32,4.95,14.46,32.51,25.28,14.45,140.706
China,CHN,Asia,2007,1490016000.0,19895100000000.0,282.59,398.735,27.44,68.36,5.28,6.48,15.69,30.76,23.93,13.67,136.297
China,CHN,Asia,2008,1501304000.0,20318400000000.0,277.31,391.278,28.8,72.39,6.7,9.33,12.77,32.58,25.34,14.48,141.622
China,CHN,Asia,2009,1512592000.0,20741700000000.0,296.48,418.331,27.61,70.05,7.64,6.28,13.69,31.52,24.52,14.01,146.512
China,CHN,Asia,2010,1523880000.0,21165000000000.0,307.65,434.089,27.36,67.34,10.31,7.2,9.85,30.3,23.57,13.47,146.164
China,CHN,Asia,2011,1535168000.0,21588300000000.0,313.46,442.295,30.58,68.79,12.3,8.28,10.0,30.95,24.08,13.76,152.124
China,CHN,Asia,2012,1546456000.0,22011600000000.0,317.71,448.293,28.1,69.32,14.64,7.0,6.45,31.19,24.26,13.86,155.38
China,CHN,Asia,2013,1557744000.0,22434900000000.0,323.22,456.062,32.21,66.3,17.62,7.85,6.74,29.83,23.2,13.26,151.174
China,CHN,Asia,2014,1569032000.0,22858200000000.0,331.91,468.321,32.28,68.78,20.29,9.38,2.62,30.95,24.07,13.76,161.059
China,CHN,Asia,2015,1580320000.0,23281500000000.0,333.21,470.158,31.89,66.16,23.4,7.84,0.64,29.77,23.16,13.23,155.533
China,CHN,Asia,2016,1591608000.0,23704800000000.0,357.09,503.856,32.15,64.8,26.66,7.03,0.0,29.16,22.68,12.96,163.245
China,CHN,Asia,2017,1602896000.0,24128100000000.0,348.4,491.597,33.71,67.67,29.56,9.06,0.0,30.45,23.68,13.53,166.333
China,CHN,Asia,2018,1614184000.0,24551400000000.0,340.93,481.053,30.03,65.89,33.68,8.48,0.0,29.65,23.06,13.18,158.485
China,CHN,Asia,2019,1625472000.0,24974700000000.0,358.39,505.682,30.61,64.75,37.47,7.09,0.0,29.14,22.66,12.95,163.711
China,CHN,Asia,2020,1636760000.0,25398000000000.0,354.53,500.235,33.18,65.53,40.0,7.82,0.0,29.49,22.94,13.11,163.91
China,CHN,Asia,2021,1648048000.0,25821300000000.0,358.11,505.295,30.23,61.88,40.0,7.35,0.0,27.85,21.66,12.38,156.34
China,CHN,Asia,2022,1659336000.0,26244600000000.0,370.22,522.373,36.52,66.06,40.0,9.11,0.0,29.73,23.12,13.21,172.548
China,CHN,Asia,2023,1670624000.0,26667900000000.0,381.66,538.522,33.96,63.42,40.0,7.66,0.0,28.54,22.2,12.68,170.772
Germany,DEU,Europe,2000,83200000.0,3993600000000.0,971.57,80.835,38.07,54.78,3.21,10.21,24.65,24.65,19.17,10.96,22.142
Germany,DEU,Europe,2001,83865600.0,4025548800000.0,970.52,80.747,35.88,54.68,2.89,8.2,24.8,24.6,19.14,10.94,22.075
Germany,DEU,Europe,2002,84531200.0,4057497600000.0,1003.43,83.485,36.87,57.21,3.2,11.37,22.3,25.74,20.02,11.44,23.88
Germany,DEU,Europe,2003,85196800.0,4089446400000.0,1047.62,87.162,38.05,54.32,3.12,8.7,26.23,24.45,19.01,10.86,23.675
Germany,DEU,Europe,2004,85862400.0,4121395200000.0,975.09,81.128,35.54,49.36,3.42,8.13,23.99,22.21,17.28,9.87,20.023
Germany,DEU,Europe,2005,86528000.0,4153344000000.0,1026.87,85.435,37.86,57.01,4.24,8.89,24.73,25.66,19.95,11.4,24.355
Germany,DEU,Europe,2006,87193600.0,4185292800000.0,1061.36,88.305,38.59,50.27,4.34,10.83,23.42,22.62,17.6,10.05,22.197
Germany,DEU,Europe,2007,87859200.0,4217241600000.0,1010.28,84.055,34.62,55.27,5.13,9.89,19.6,24.87,19.35,11.05,23.23
Germany,DEU,Europe,2008,88524800.0,4249190400000.0,1022.88,85.104,37.28,52.23,5.39,8.87,23.02,23.5,18.28,10.45,22.224
Germany,DEU,Europe,2009,89190400.0,4281139200000.0,1032.83,85.932,36.78,51.58,7.08,9.71,19.99,23.21,18.05,10.32,22.164
Germany,DEU,Europe,2010,89856000.0,4313088000000.0,1076.54,89.568,37.1,48.45,8.01,9.61,19.48,21.8,16.96,9.69,21.699
Germany,DEU,Europe,2011,90521600.0,4345036800000.0,1081.43,89.975,42.88,51.41,8.42,10.79,23.68,23.13,17.99,10.28,23.126
Germany,DEU,Europe,2012,91187200.0,4376985600000.0,1082.83,90.091,43.73,50.33,10.63,11.58,21.52,22.65,17.61,10.07,22.671
Germany,DEU,Europe,2013,91852800.0,4408934400000.0,1093.49,90.979,38.72,51.85,11.53,7.92,19.27,23.33,18.15,10.37,23.586
Germany,DEU,Europe,2014,92518400.0,4440883200000.0,1090.5,90.73,37.01,49.59,11.79,10.75,14.46,22.32,17.36,9.92,22.497
Germany,DEU,Europe,2015,93184000.0,4472832000000.0,1020.26,84.885,44.78,47.02,13.66,11.14,19.98,21.16,16.46,9.4,19.958
Germany,DEU,Europe,2016,93849600.0,4504780800000.0,1079.98,89.855,41.89,45.3,15.25,9.17,17.47,20.38,15.85,9.06,20.352
Germany,DEU,Europe,2017,94515200.0,4536729600000.0,1073.75,89.336,43.12,47.21,16.93,9.72,16.48,21.24,16.52,9.44,21.086
Germany,DEU,Europe,2018,95180800.0,4568678400000.0,1114.85,92.755,44.74,46.77,18.29,10.65,15.8,21.05,16.37,9.35,21.69
Germany,DEU,Europe,2019,95846400.0,4600627200000.0,1087.55,90.484,43.05,46.32,19.74,9.56,13.74,20.84,16.21,9.26,20.957
Germany,DEU,Europe,2020,96512000.0,4632576000000.0,1120.75,93.246,43.77,46.64,22.69,10.83,10.25,20.99,16.33,9.33,21.747
Germany,DEU,Europe,2021,97177600.0,4664524800000.0,1103.43,91.806,45.36,49.21,23.75,10.76,10.84,22.14,17.22,9.84,22.589
Germany,DEU,Europe,2022,97843200.0,4696473600000.0,1175.25,97.781,39.96,44.32,25.76,11.64,2.56,19.94,15.51,8.86,21.667
Germany,DEU,Europe,2023,98508800.0,4728422400000.0,1241.63,103.303,46.15,47.62,27.9,12.66,5.59,21.43,16.67,9.52,24.598
France,FRA,Europe,2000,67400000.0,2898200000000.0,865.25,58.318,20.09,4.79,0.95,4.27,14.87,2.15,1.68,0.96,1.396
France,FRA,Europe,2001,67939200.0,2921385600000.0,910.76,61.385,21.14,5.49,0.47,6.17,14.51,2.47,1.92,1.1,1.685
France,FRA,Europe,2002,68478400.0,2944571200000.0,851.18,57.37,25.83,7.46,1.15,7.98,16.7,3.36,2.61,1.49,2.14
France,FRA,Europe,2003,69017600.0,2967756800000.0,857.51,57.796,21.23,6.58,1.56,3.92,15.75,2.96,2.3,1.32,1.9
France,FRA,Europe,2004,69556800.0,2990942400000.0,902.51,60.829,27.56,3.81,1.98,6.24,19.34,1.72,1.33,0.76,1.159
France,FRA,Europe,2005,70096000.0,3014128000000.0,895.7,60.37,22.99,4.53,1.75,4.92,16.32,2.04,1.59,0.91,1.368
France,FRA,Europe,2006,70635200.0,3037313600000.0,876.74,59.092,24.51,5.44,2.47,5.55,16.49,2.45,1.9,1.09,1.606
France,FRA,Europe,2007,71174400.0,3060499200000.0,910.87,61.392,26.05,3.61,3.15,7.26,15.63,1.62,1.26,0.72,1.108
France,FRA,Europe,2008,71713600.0,3083684800000.0,930.7,62.729,26.56,3.89,2.75,5.88,17.94,1.75,1.36,0.78,1.221
France,FRA,Europe,2009,72252800.0,3106870400000.0,929.1,62.622,22.66,4.97,3.34,4.76,14.56,2.23,1.74,0.99,1.555
France,FRA,Europe,2010,72792000.0,3130056000000.0,895.06,60.327,23.02,4.39,5.04,5.1,12.88,1.98,1.54,0.88,1.324
France,FRA,Europe,2011,73331200.0,3153241600000.0,963.93,64.969,25.06,3.4,5.59,5.69,13.78,1.53,1.19,0.68,1.106
France,FRA,Europe,2012,73870400.0,3176427200000.0,983.32,66.276,24.96,4.89,6.78,3.77,14.41,2.2,1.71,0.98,1.619
France,FRA,Europe,2013,74409600.0,3199612800000.0,960.01,64.705,28.81,3.07,7.07,6.6,15.14,1.38,1.08,0.61,0.994
France,FRA,Europe,2014,74948800.0,3222798400000.0,963.62,64.948,27.78,5.47,8.44,7.28,12.05,2.46,1.91,1.09,1.775
France,FRA,Europe,2015,75488000.0,3245984000000.0,974.6,65.688,27.55,1.92,9.34,6.47,11.74,0.86,0.67,0.38,0.63
France,FRA,Europe,2016,76027200.0,3269169600000.0,960.59,64.744,33.11,4.18,10.79,9.48,12.83,1.88,1.46,0.84,1.352
France,FRA,Europe,2017,76566400.0,3292355200000.0,922.13,62.152,25.32,1.0,11.76,5.98,7.57,0.45,0.35,0.2,0.311
France,FRA,Europe,2018,77105600.0,3315540800000.0,977.37,65.875,33.18,2.39,13.26,9.12,10.8,1.08,0.84,0.48,0.788
France,FRA,Europe,2019,77644800.0,3338726400000.0,946.77,63.813,30.73,2.93,13.76,8.83,8.14,1.32,1.03,0.59,0.936
France,FRA,Europe,2020,78184000.0,3361912000000.0,1065.56,71.819,29.87,2.31,16.26,7.65,5.96,1.04,0.81,0.46,0.829
France,FRA,Europe,2021,78723200.0,3385097600000.0,1029.5,69.388,30.21,1.0,17.77,6.7,5.74,0.45,0.35,0.2,0.347
France,FRA,Europe,2022,79262400.0,3408283200000.0,1021.48,68.848,30.61,1.31,19.33,8.69,2.59,0.59,0.46,0.26,0.45
France,FRA,Europe,2023,79801600.0,3431468800000.0,1004.67,67.715,31.46,1.0,20.8,8.24,2.42,0.45,0.35,0.2,0.339
India,IND,Asia,2000,1393000000.0,2925300000000.0,43.71,60.885,18.16,77.74,0.3,4.95,12.9,34.98,27.21,15.55,23.666
India,IND,Asia,2001,1404144000.0,2998432500000.0,40.75,56.769,18.89,73.16,0.86,6.22,11.81,32.92,25.61,14.63,20.767
India,IND,Asia,2002,1415288000.0,3071565000000.0,42.61,59.357,20.76,75.86,0.72,7.64,12.41,34.14,26.55,15.17,22.515
India,IND,Asia,2003,1426432000.0,3144697500000.0,45.8,63.802,21.52,76.41,1.07,5.6,14.85,34.38,26.74,15.28,24.375
India,IND,Asia,2004,1437576000.0,3217830000000.0,48.06,66.954,22.68,78.37,1.5,7.26,13.92,35.27,27.43,15.67,26.237
India,IND,Asia,2005,1448720000.0,3290962500000.0,47.33,65.929,20.19,74.01,2.63,6.14,11.42,33.3,25.9,14.8,24.397
India,IND,Asia,2006,1459864000.0,3364095000000.0,47.68,66.42,25.67,73.6,3.41,5.4,16.86,33.12,25.76,14.72,24.442
India,IND,Asia,2007,1471008000.0,3437227500000.0,47.44,66.084,24.69,73.71,4.9,4.88,14.92,33.17,25.8,14.74,24.356
India,IND,Asia,2008,1482152000.0,3510360000000.0,48.13,67.041,26.82,72.7,7.12,6.46,13.23,32.71,25.44,14.54,24.369
India,IND,Asia,2009,1493296000.0,3583492500000.0,51.09,71.173,18.52,72.76,9.08,5.33,4.12,32.74,25.47,14.55,25.893
India,IND,Asia,2010,1504440000.0,3656625000000.0,50.76,70.705,26.6,71.98,12.08,9.22,5.3,32.39,25.19,14.4,25.448
India,IND,Asia,2011,1515584000.0,3729757500000.0,53.87,75.038,24.81,72.13,13.75,6.06,5.0,32.46,25.24,14.43,27.061
India,IND,Asia,2012,1526728000.0,3802890000000.0,53.71,74.818,24.12,71.76,16.1,5.32,2.7,32.29,25.12,14.35,26.845
India,IND,Asia,2013,1537872000.0,3876022500000.0,51.22,71.355,25.14,74.49,19.21,7.38,0.0,33.52,26.07,14.9,26.575
India,IND,Asia,2014,1549016000.0,3949155000000.0,56.07,78.103,21.94,70.45,22.73,4.08,0.0,31.7,24.66,14.09,27.51
India,IND,Asia,2015,1560160000.0,4022287500000.0,59.37,82.704,24.3,74.29,25.21,7.35,0.0,33.43,26.0,14.86,30.719
India,IND,Asia,2016,1571304000.0,4095420000000.0,59.66,83.111,24.7,69.39,29.32,4.95,0.0,31.22,24.29,13.88,28.834
India,IND,Asia,2017,1582448000.0,4168552500000.0,61.13,85.149,26.91,69.34,33.06,7.17,0.0,31.2,24.27,13.87,29.52
India,IND,Asia,2018,1593592000.0,4241685000000.0,62.03,86.401,30.14,67.58,36.6,8.13,0.0,30.41,23.65,13.52,29.194
India,IND,Asia,2019,1604736000.0,4314817500000.0,63.67,88.689,28.91,66.89,40.0,7.04,0.0,30.1,23.41,13.38,29.661
India,IND,Asia,2020,1615880000.0,4387950000000.0,60.34,84.051,30.79,67.63,40.0,6.14,0.0,30.44,23.67,13.53,28.424
India,IND,Asia,2021,1627024000.0,4461082500000.0,60.05,83.649,26.57,72.21,40.0,8.34,0.0,32.49,25.27,14.44,30.2
India,IND,Asia,2022,1638168000.0,4534215000000.0,65.88,91.77,29.37,67.26,40.0,7.31,0.0,30.27,23.54,13.45,30.861
India,IND,Asia,2023,1649312000.0,4607347500000.0,65.43,91.142,30.23,68.3,40.0,7.5,0.0,30.74,23.91,13.66,31.125
United Kingdom,GBR,Europe,2000,67200000.0,3091200000000.0,940.51,63.203,24.58,62.3,1.12,6.32,17.14,28.04,21.81,12.46,19.689
United Kingdom,GBR,Europe,2001,67737600.0,3115929600000.0,912.34,61.309,28.47,65.35,0.97,6.34,21.16,29.41,22.87,13.07,20.032
United Kingdom,GBR,Europe,2002,68275200.0,3140659200000.0,886.98,59.605,26.91,65.12,1.25,7.76,17.9,29.3,22.79,13.02,19.408
United Kingdom,GBR,Europe,2003,68812800.0,3165388800000.0,989.15,66.471,29.82,65.92,1.58,8.47,19.77,29.66,23.07,13.18,21.909
United Kingdom,GBR,Europe,2004,69350400.0,3190118400000.0,950.18,63.852,27.18,62.36,0.96,7.31,18.91,28.06,21.83,12.47,19.909
United Kingdom,GBR,Europe,2005,69888000.0,3214848000000.0,939.25,63.117,30.55,61.75,1.8,6.23,22.52,27.79,21.61,12.35,19.488
United Kingdom,GBR,Europe,2006,70425600.0,3239577600000.0,994.64,66.84,27.91,60.96,2.2,6.03,19.68,27.43,21.34,12.19,20.373
United Kingdom,GBR,Europe,2007,70963200.0,3264307200000.0,946.5,63.605,32.03,62.93,4.18,8.71,19.14,28.32,22.03,12.59,20.015
United Kingdom,GBR,Europe,2008,71500800.0,3289036800000.0,976.06,65.591,31.72,67.34,3.55,9.08,19.09,30.3,23.57,13.47,22.084
United Kingdom,GBR,Europe,2009,72038400.0,3313766400000.0,967.69,65.029,31.84,65.41,4.24,9.77,17.83,29.44,22.89,13.08,21.268
United Kingdom,GBR,Europe,2010,72576000.0,3338496000000.0,1022.59,68.718,31.22,62.79,5.63,8.43,17.16,28.25,21.98,12.56,21.573
United Kingdom,GBR,Europe,2011,73113600.0,3363225600000.0,998.72,67.114,31.33,60.68,5.63,8.45,17.24,27.31,21.24,12.14,20.362
United Kingdom,GBR,Europe,2012,73651200.0,3387955200000.0,1026.79,69.0,30.55,61.59,7.33,8.2,15.02,27.71,21.56,12.32,21.247
United Kingdom,GBR,Europe,2013,74188800.0,3412684800000.0,1013.54,68.11,35.32,61.4,8.78,7.17,19.37,27.63,21.49,12.28,20.909
United Kingdom,GBR,Europe,2014,74726400.0,3437414400000.0,983.86,66.115,34.5,60.67,9.69,7.54,17.26,27.3,21.24,12.13,20.057
United Kingdom,GBR,Europe,2015,75264000.0,3462144000000.0,1031.28,69.302,34.44,61.15,11.2,8.64,14.6,27.52,21.4,12.23,21.187
United Kingdom,GBR,Europe,2016,75801600.0,3486873600000.0,1023.37,68.77,33.92,59.63,12.51,8.05,13.37,26.83,20.87,11.93,20.503
United Kingdom,GBR,Europe,2017,76339200.0,3511603200000.0,1084.49,72.878,35.84,58.13,13.44,8.06,14.33,26.16,20.35,11.63,21.182
United Kingdom,GBR,Europe,2018,76876800.0,3536332800000.0,1058.69,71.144,34.95,61.63,15.01,9.77,10.17,27.73,21.57,12.33,21.924
United Kingdom,GBR,Europe,2019,77414400.0,3561062400000.0,1062.46,71.397,36.79,60.17,16.1,10.26,10.43,27.08,21.06,12.03,21.48
United Kingdom,GBR,Europe,2020,77952000.0,3585792000000.0,1055.58,70.935,39.51,62.64,18.18,9.43,11.9,28.19,21.92,12.53,22.217
United Kingdom,GBR,Europe,2021,78489600.0,3610521600000.0,1061.01,71.3,40.29,56.65,20.76,9.79,9.74,25.49,19.83,11.33,20.196
United Kingdom,GBR,Europe,2022,79027200.0,3635251200000.0,1057.0,71.03,35.73,55.34,21.51,8.9,5.32,24.9,19.37,11.07,19.654
United Kingdom,GBR,Europe,2023,79564800.0,3659980800000.0,1121.45,75.361,41.1,55.0,24.09,10.06,6.95,24.75,19.25,11.0,20.726
Japan,JPN,Asia,2000,125000000.0,5000000000000.0,809.18,101.147,19.35,75.75,0.98,5.0,13.37,34.09,26.51,15.15,38.312
Japan,JPN,Asia,2001,126000000.0,5040000000000.0,790.97,98.871,19.01,82.56,1.25,4.22,13.54,37.15,28.9,16.51,40.816
Japan,JPN,Asia,2002,127000000.0,5080000000000.0,841.79,105.224,17.76,76.03,0.96,5.86,10.94,34.21,26.61,15.21,40.001
Japan,JPN,Asia,2003,128000000.0,5120000000000.0,805.63,100.704,17.64,77.9,1.25,5.04,11.35,35.05,27.26,15.58,39.224
Japan,JPN,Asia,2004,129000000.0,5160000000000.0,870.08,108.76,16.71,79.7,1.93,3.56,11.22,35.87,27.9,15.94,43.343
Japan,JPN,Asia,2005,130000000.0,5200000000000.0,848.44,106.055,20.75,76.93,2.17,7.2,11.38,34.62,26.93,15.39,40.794
Japan,JPN,Asia,2006,131000000.0,5240000000000.0,820.02,102.502,19.01,73.15,2.83,4.72,11.46,32.92,25.6,14.63,37.492
Japan,JPN,Asia,2007,132000000.0,5280000000000.0,844.38,105.548,20.01,76.01,4.31,6.19,9.51,34.21,26.6,15.2,40.115
Japan,JPN,Asia,2008,133000000.0,5320000000000.0,877.86,109.733,20.42,74.24,5.4,5.79,9.23,33.41,25.98,14.85,40.732
Japan,JPN,Asia,2009,134000000.0,5360000000000.0,872.8,109.1,23.08,74.15,6.03,6.88,10.18,33.37,25.95,14.83,40.449
Japan,JPN,Asia,2010,135000000.0,5400000000000.0,894.31,111.789,23.36,76.66,6.62,7.22,9.52,34.49,26.83,15.33,42.846
Japan,JPN,Asia,2011,136000000.0,5440000000000.0,901.9,112.738,22.45,74.47,7.66,4.8,9.99,33.51,26.06,14.89,41.977
Japan,JPN,Asia,2012,137000000.0,5480000000000.0,910.43,113.804,22.43,73.88,8.77,5.8,7.86,33.25,25.86,14.78,42.041
Japan,JPN,Asia,2013,138000000.0,5520000000000.0,900.3,112.538,20.93,74.97,9.96,7.4,3.57,33.74,26.24,14.99,42.185
Japan,JPN,Asia,2014,139000000.0,5560000000000.0,931.7,116.462,24.53,73.63,11.25,6.04,7.24,33.13,25.77,14.73,42.875
Japan,JPN,Asia,2015,140000000.0,5600000000000.0,884.0,110.5,25.74,73.16,13.02,6.63,6.09,32.92,25.6,14.63,40.419
Japan,JPN,Asia,2016,141000000.0,5640000000000.0,883.45,110.431,22.9,72.7,14.98,6.92,1.0,32.72,25.45,14.54,40.142
Japan,JPN,Asia,2017,142000000.0,5680000000000.0,951.48,118.935,24.27,72.84,15.69,6.0,2.58,32.78,25.49,14.57,43.317
Japan,JPN,Asia,2018,143000000.0,5720000000000.0,854.83,106.854,29.59,68.84,17.93,7.84,3.82,30.98,24.1,13.77,36.781
Japan,JPN,Asia,2019,144000000.0,5760000000000.0,928.34,116.043,24.22,72.81,19.91,5.49,0.0,32.76,25.48,14.56,42.244
Japan,JPN,Asia,2020,145000000.0,5800000000000.0,925.24,115.655,28.44,72.34,21.66,8.96,0.0,32.55,25.32,14.47,41.835
